incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Honey Fire,TRUE,2018-01-09T13:34:00Z,2017-10-09T15:05:00Z,CAL FIRE/Butte County Fire,Butte,"Honey Run Rd & Merlin Ln, southwest of Paradise ",150,CAL FIRE/Butte County Fire,-121.67261,39.74679,2018-01-09T13:34:00Z,1/9/18,10/9/17,N,TRUE,FALSE
Canyon 2 Fire,TRUE,2018-04-05T10:47:00Z,2017-10-09T09:51:00Z,"Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City",Orange,"Off of East Santa Ana Canyon Rd, west of Gypsum Canyon",9217,"Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City, California Highway Patrol, Orange County Sheriff, Anaheim PD, Tustin PD, Orange PD, Irvine PD, Orange County Parks, California State Parks, Cal Trans, Orange County Animal Control, CCC, So Cal Gas, Irvine Ranch Water District, Transportation Corridor Agencies",-117.70975,33.87041,2018-04-05T10:47:00Z,4/5/18,10/9/17,N,TRUE,FALSE
Wildomar Fire,TRUE,2018-01-09T13:45:00Z,2017-10-26T12:34:00Z,Cleveland National Forest,Riverside,"S Main Divide Rd and Wildomar OHV Park, west of Wildomar City",866,Cleveland National Forest,-117.34192,33.60247,2018-01-09T13:45:00Z,1/9/18,10/26/17,N,TRUE,FALSE
Tehama Fire,TRUE,2018-01-09T13:46:00Z,2017-10-26T20:00:00Z,CAL FIRE Tehama-Glenn Unit,Tehama,"North Rim of the Mill Creek drainage, east of Los Molinos",194,CAL FIRE Tehama-Glenn Unit,-121.91425,40.02261,2018-01-09T13:46:00Z,1/9/18,10/26/17,N,TRUE,FALSE
Silver Fire,TRUE,2018-01-09T13:36:00Z,2017-10-11T15:59:00Z,CAL FIRE Fresno-Kings Unit,Fresno,"Elwood Road and Silver Lane, northwest of Squaw Valley",58,CAL FIRE Fresno-Kings Unit,-119.2288,36.7528,2018-01-09T13:36:00Z,1/9/18,10/11/17,N,TRUE,FALSE
Pocket Fire (Central LNU Complex),TRUE,2018-02-09T09:32:00Z,2017-10-09T03:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"off of Pocket Ranch Rd and Ridge Ranch Rd, Geyserville ",17357,CAL FIRE Sonoma-Lake-Napa Unit,-122.90939,38.76549,2018-02-09T09:32:00Z,2/9/18,10/9/17,N,TRUE,FALSE
Bear Fire,TRUE,2018-01-09T13:41:00Z,2017-10-16T22:30:00Z,CAL FIRE San Mateo-Santa Cruz Unit ,Santa Cruz,"Bear Canyon Road and Deer Creek Road in Boulder Creek, CA",391,"CAL FIRE San Mateo-Santa Cruz Unit , Santa Cruz County Sheriff, Santa Cruz County OES, Santa Cruz County FD, Santa Cruz City FD, American Red Cross of the Central Coast, California Highway Patrol, Aptos/La Selva FPD, Boulder Creek FPD, Branciforte FPD, Central FPD, Scotts Valley FPD, Zayante FPD, Watsonville City FD, San Mateo County OES, San Mateo County FD, Santa Clara County FD, North Bay Incident Management Team, Moffett Field FD, CAL FIRE Santa Clara, CAL FIRE San Benito-Monterey, CAL FIRE Amador-El Dorado, CAL FIRE San Luis Obispo, CAL FIRE Lassen-Modoc, and CAL FIRE Tuolumne-Calaveras.",-122.07012,37.18356,2018-01-09T13:41:00Z,1/9/18,10/16/17,N,TRUE,FALSE
Wilson Fire,TRUE,2018-01-09T13:40:00Z,2017-10-17T03:43:00Z,Angeles National Forest,Los Angeles,off Mount Wilson Circle near the Mount Wilson Observatory ,50,Angeles National Forest,-118.05545,34.22551,2018-01-09T13:40:00Z,1/9/18,10/17/17,N,FALSE,FALSE
River Fire,TRUE,2018-01-09T13:36:00Z,2017-10-14T16:00:00Z,Six Rivers National Forest,Trinity,"off of County Line Creek Rd, near the community of Mad River",148,Six Rivers National Forest,-123.51619,40.46836,2018-01-09T13:36:00Z,1/9/18,10/14/17,N,FALSE,FALSE
Quarry Fire,TRUE,2018-01-09T13:36:00Z,2017-10-12T10:42:00Z,Kern County Fire Department,Kern,"off Hwy 223, east of Arvin ",183,Kern County Fire Department,-118.76152,35.19008,2018-01-09T13:36:00Z,1/9/18,10/12/17,N,TRUE,FALSE
Wilson Fire,TRUE,2018-01-09T13:40:00Z,2017-10-15T14:05:00Z,CAL FIRE San Diego Unit,San Diego,"at Wilson Road, east of San Felipe",25,CAL FIRE San Diego Unit,-116.50897,33.18716,2018-01-09T13:40:00Z,1/9/18,10/15/17,N,TRUE,FALSE
Garden Fire,TRUE,2018-01-09T13:33:00Z,2017-10-10T12:30:00Z,CAL FIRE Nevada-Yuba-Placer Unit,Nevada,"off Wolf Road and Garden Bar Rd, northwest of Higgins Corner",19,CAL FIRE Nevada-Yuba-Placer Unit,-121.13737,39.06414,2018-01-09T13:33:00Z,1/9/18,10/10/17,N,TRUE,FALSE
Ice Fire,TRUE,2018-01-09T13:35:00Z,2017-10-10T15:36:00Z,USFS - El Dorado National Forest,El Dorado,"off Ice House Road and US-50, east of Riverton, 13 miles east of Camino",29,USFS - El Dorado National Forest,-120.46234,38.77921,2018-01-09T13:35:00Z,1/9/18,10/10/17,N,FALSE,FALSE
Portola Fire,TRUE,2018-01-09T13:32:00Z,2017-10-10T14:57:00Z,CAL FIRE/ Riverside County Fire,Riverside,"De Portola Road east of Pauba Road, Temecula",23,CAL FIRE/ Riverside County Fire,-117.02132,33.50488,2018-01-09T13:32:00Z,1/9/18,10/10/17,N,TRUE,FALSE
Meyers Fire,TRUE,2018-01-09T13:47:00Z,2017-12-05T13:28:00Z,Unified Command: CAL FIRE / San Bernardino County Fire,San Bernardino,"near the Hwy 15 and Hwy 215 junction, near Glen Helen Regional Park ",34,Unified Command: CAL FIRE / San Bernardino County Fire,-117.40625,34.21829,2018-01-09T13:47:00Z,1/9/18,12/5/17,N,TRUE,FALSE
Little Mountain Fire,TRUE,2018-01-09T13:47:00Z,2017-12-05T13:35:00Z,San Bernardino County Fire,San Bernardino,"University Pkwy. and Varsity Ave., San Bernardino City",260,San Bernardino County Fire,-117.33334,34.16564,2018-01-09T13:47:00Z,1/9/18,12/5/17,N,TRUE,FALSE
Extension Fire,TRUE,2018-01-09T13:42:00Z,2017-10-23T10:31:00Z,CAL FIRE/Riverside County Fire,Riverside,"Lambs Canyon Road & Gilman Springs Road, Gilman Springs",50,CAL FIRE/Riverside County Fire,-117.00589,33.8826,2018-01-09T13:42:00Z,1/9/18,10/23/17,N,TRUE,FALSE
Freeway Fire,TRUE,2018-01-09T13:45:00Z,2017-10-24T10:27:00Z,San Bernardino County Fire and Rancho Cucamonga Fire District,San Bernardino,"Interstate 15 and Interstate 210, Rancho Cucamonga",40,San Bernardino County Fire and Rancho Cucamonga Fire District,-117.4982,34.13534,2018-01-09T13:45:00Z,1/9/18,10/24/17,N,FALSE,FALSE
Rolling Fire,TRUE,2018-04-03T10:46:00Z,2017-10-15T17:11:00Z,Kern County Fire,Kern,"Bena Road, east of Bakersfield",184,Kern County Fire,-118.701,35.3091,2018-04-03T10:46:00Z,4/3/18,10/15/17,N,TRUE,FALSE
Lynch Fire,TRUE,2018-01-09T13:37:00Z,2017-10-13T12:14:00Z,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Lynch Canyon Road and Interlake Road, north of Lake Nacimiento",73,CAL FIRE San Luis Obispo Unit,-120.96514,35.78616,2018-01-09T13:37:00Z,1/9/18,10/13/17,N,TRUE,FALSE
Table Fire,TRUE,2018-01-09T13:36:00Z,2017-10-13T13:16:00Z,USFS - El Dorado National Forest,El Dorado,3 miles northeast of Ice House Reservoir,426,USFS - El Dorado National Forest,-120.287,38.848,2018-01-09T13:36:00Z,1/9/18,10/13/17,N,FALSE,FALSE
Long Fire,TRUE,2018-01-09T13:38:00Z,2017-10-14T05:00:00Z,CAL FIRE Sonoma Lake Napa Unit,Lake,"off Hwy 20 & Long Valley Rd, 5 miles east of Clearlake Oaks",100,CAL FIRE Sonoma Lake Napa Unit,-122.57487,39.0199,2018-01-09T13:38:00Z,1/9/18,10/14/17,N,TRUE,FALSE
Oakmont Fire (Central LNU Complex),TRUE,2018-04-05T12:01:00Z,2017-10-14T20:35:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,east side of Highway 12 near the Oakmont community,100,CAL FIRE Sonoma-Lake-Napa Unit,-122.58152,38.46123,2018-04-05T12:01:00Z,4/5/18,10/14/17,N,TRUE,FALSE
Pressley Fire (Central LNU Complex),TRUE,2018-01-09T13:34:00Z,2017-10-09T01:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,east of Rohnert Park,0,CAL FIRE Sonoma-Lake-Napa Unit,-122.64001,38.36685,2018-01-09T13:34:00Z,1/9/18,10/9/17,N,TRUE,FALSE
York Fire,TRUE,2018-01-09T13:40:00Z,2017-10-15T14:55:00Z,CAL FIRE San Benito-Monterey Unit,Monterey,"off York Road and S Boundary Road, east of Monterey ",31,CAL FIRE San Benito-Monterey Unit,-121.80377,36.5858,2018-01-09T13:40:00Z,1/9/18,10/15/17,N,TRUE,FALSE
Fallon Fire,TRUE,2018-01-09T13:41:00Z,2017-10-17T14:00:00Z,CAL FIRE Santa Clara Unit,Alameda,off Fallon Road 3 miles East of Dublin ,116,CAL FIRE Santa Clara Unit,-121.85663,37.7393,2018-01-09T13:41:00Z,1/9/18,10/17/17,N,TRUE,FALSE
Buffalo Fire,TRUE,2018-01-09T13:41:00Z,2017-10-17T10:19:00Z,DOD - Camp Pendleton,San Diego,"Range 600, Case Springs Road, Camp Pendleton",1088,DOD - Camp Pendleton,-117.402445,33.402411,2018-01-09T13:41:00Z,1/9/18,10/17/17,N,FALSE,FALSE
Milton Fire,TRUE,2018-01-09T13:41:00Z,2017-10-18T12:53:00Z,CAL FIRE Tuolumne-Calaveras Unit,Stanislaus,off Milton Road and Sonora Road north of Woodward Reservoir Park,13,CAL FIRE Tuolumne-Calaveras Unit,-120.84748,37.89532,2018-01-09T13:41:00Z,1/9/18,10/18/17,N,TRUE,FALSE
Rye Fire,TRUE,2018-01-18T09:58:00Z,2017-12-05T11:31:00Z,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office",Los Angeles,"along Rye Canyon Loop, west Valencia",6049,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office, CAL FIRE, California Highway Patrol, City of Santa Clarita, Southern California Edison, California Resources Corporation, California Conservation Corps, SoCal Gas, Simi Valley PD, and LA County Public Works.",-118.58188,34.45283,2018-01-18T09:58:00Z,1/18/18,12/5/17,N,TRUE,FALSE
Creek Fire,TRUE,2018-08-06T10:52:00Z,2017-12-05T03:44:00Z,Angeles National Forest,Los Angeles,"Kagel Canyon Rd, north of Lake View terrace ",15619,"Angeles National Forest, CAL FIRE, Los Angeles School Police, Los Angeles, County Sheriff, Los Angeles Police Department, Cal OES, Glendale Fire Department, California Department of Corrections, City of Los Angeles, Burbank Fire, California Conversation Corps, California Highway Patrol, Los Angeles Department of Transportation, Cal Trans, Los Angeles County Public Health, Los Angeles County Public Works, Southern California Edison, Southern California Gas, Los Angeles City Park Rangers, Los Angeles Department of Water, Power, and Security, Mountains Recreation Conservation Authority, Los Angeles County Animal Control, Los Angeles City Animal Services, Metro Bus, Red Cross, CARE, Los Angeles Department on Disability.",-118.35863,34.31283,2018-08-06T10:52:00Z,8/6/18,12/5/17,N,FALSE,FALSE
Thomas Fire,TRUE,2020-04-27T13:46:23Z,2017-12-04T18:28:00Z,US Forest Service - Los Padres National Forest ,"Santa Barbara, Ventura","Hwy 150 and Hwy 126, north of Santa Paula ",281893,"US Forest Service - Los Padres National Forest , CAL FIRE, Ventura County Fire, Ventura County Sheriff, Santa Barbara County Fire, Santa Barbara County Sheriff, City of Ventura Fire Department, City of Ventura Police Department, USFS/Los Padres National Forest, CAL OES, Red Cross, Southern California Edison, CHP, California Dept. of Corrections and Rehabilitation, SoCaGas, Crimson Pipeline, Wildfire Defense Systems, CA Resources Group, Santa Paula Police, Santa Paula Fire, Ventura County OES, Santa Barbara OEM",-119.09124,34.41521,2018-01-12T11:24:00Z,1/12/18,12/4/17,N,TRUE,FALSE
Riverdale Fire,TRUE,2018-01-09T13:47:00Z,2017-12-04T12:26:00Z,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,Riverside," Riverdale Place and Lakeview Ave, Santa Ana Riverbed ",40,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,-117.4764,33.96514,2018-01-09T13:47:00Z,1/9/18,12/4/17,N,TRUE,FALSE
Roser Fire,TRUE,2018-01-09T13:46:00Z,2017-11-02T14:40:00Z,CAL FIRE Tehama-Glenn Unit ,Tehama,"Roser Rd & Sour Grass Rd, 6 miles NW of Orland",43,CAL FIRE Tehama-Glenn Unit ,-122.28165,39.81517,2018-01-09T13:46:00Z,1/9/18,11/2/17,N,TRUE,FALSE
Chris Fire,TRUE,2018-01-09T13:46:00Z,2017-11-13T11:28:00Z,Humboldt - Toiyabe National Forest,Mono,"Hwy 395, north of Hwy 108, Walker Watershed, south of Walker",370,Humboldt - Toiyabe National Forest,-119.48284,38.46111,2018-01-09T13:46:00Z,1/9/18,11/13/17,N,FALSE,FALSE
Loma Fire,TRUE,2018-01-09T13:38:00Z,2017-10-13T15:40:00Z,Camp Pendleton - Cleveland National Forest,San Diego,"Loma Range 217, Camp Pendleton",81,Camp Pendleton - Cleveland National Forest,-117.46709,33.38613,2018-01-09T13:38:00Z,1/9/18,10/13/17,N,FALSE,FALSE
Palm Fire,TRUE,2018-01-09T13:46:00Z,2017-11-14T16:11:00Z,CAL FIRE / Riverside County Fire,Riverside,"Off Palm Dr & 20th Ave, Desert Hot Springs",40,CAL FIRE / Riverside County Fire,-116.50151,33.90327,2018-01-09T13:46:00Z,1/9/18,11/14/17,N,TRUE,FALSE
Vista Fire,TRUE,2018-01-09T13:45:00Z,2017-10-24T14:44:00Z,Ventura County Fire,Ventura,off Hwy 33 & Casitas Vista Rd,86,Ventura County Fire,-119.30918,34.34949,2018-01-09T13:45:00Z,1/9/18,10/24/17,N,TRUE,FALSE
Soda Fire,TRUE,2018-01-09T13:42:00Z,2017-10-20T12:13:00Z,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Off Soda Lake Rd, Carrizo Plains area ",21,CAL FIRE San Luis Obispo Unit,-120.00353,35.41112,2018-01-09T13:42:00Z,1/9/18,10/20/17,N,TRUE,FALSE
Bitterwater Fire,TRUE,2018-01-09T13:46:00Z,2017-11-25T16:46:00Z,CAL FIRE San Benito-Monterey Unit,San Benito,Airline Hwy and Bitterwater Road,47,CAL FIRE San Benito-Monterey Unit,-121.00391,36.38109,2018-01-09T13:46:00Z,1/9/18,11/25/17,N,TRUE,FALSE
Church Fire,TRUE,2018-01-09T13:41:00Z,2017-10-21T13:04:00Z,CAL FIRE San Diego Unit,San Diego,"off Highway 94 and Church Rd, Campo Indian Reservation ",100,CAL FIRE San Diego Unit,-116.37345,32.64962,2018-01-09T13:41:00Z,1/9/18,10/21/17,N,TRUE,FALSE
Oak Fire,TRUE,2018-01-09T13:46:00Z,2017-11-29T12:19:00Z,CAL FIRE San Bernardino Unit,San Bernardino,"Off Oak Glen Rd and Pine Bench Rd, east of Oak Glen",99,CAL FIRE San Bernardino Unit,-116.940661,34.035344,2018-01-09T13:46:00Z,1/9/18,11/29/17,N,TRUE,FALSE
Lilac Fire,TRUE,2018-01-09T13:47:00Z,2017-12-07T11:15:00Z,CAL FIRE San Diego Unit,San Diego,"Old Hwy 395 at Dulin Road, Bonsall",4100,CAL FIRE San Diego Unit,-117.163,33.3237,2018-01-09T13:47:00Z,1/9/18,12/7/17,N,TRUE,FALSE
Liberty Fire,TRUE,2018-01-09T13:47:00Z,2017-12-07T13:14:00Z,Murrieta Fire,Riverside,"Los Alamos Rd & Liberty Rd, city of Murrieta",300,Murrieta Fire,-117.14979,33.59257,2018-01-09T13:47:00Z,1/9/18,12/7/17,N,FALSE,FALSE
Longhorn Fire,TRUE,2018-01-09T13:49:00Z,2017-12-13T15:27:00Z,CAL FIRE/Riverside County Fire Department,Riverside,"off Shirleon Road and Old Banning and Idyllwild Road, Banning area",19,CAL FIRE/Riverside County Fire Department,-116.91023,33.88994,2018-01-09T13:49:00Z,1/9/18,12/13/17,N,TRUE,FALSE
Skirball Fire,TRUE,2018-01-23T08:11:00Z,2017-12-06T06:31:00Z,Los Angeles City Fire,Los Angeles,N Sepulveda Blvd at I-405,422,Los Angeles City Fire,-118.48178,34.09454,2018-01-23T08:11:00Z,1/23/18,12/6/17,N,FALSE,FALSE
Drum Fire,TRUE,2019-07-09T13:53:15Z,2017-12-16T12:21:00Z,Santa Barbara County Fire,Santa Barbara,"off Drum Canyon Rd, south of Los Alamos",14,Santa Barbara County Fire,-120.27077,34.71796,2018-01-09T13:49:00Z,1/9/18,12/16/17,N,TRUE,FALSE
Coast Fire,TRUE,2019-07-09T13:54:48Z,2017-12-14T12:59:00Z,Santa Barbara County Fire,Santa Barbara,"off the 3500 Block of Highway 1, south east of Lompoc",14,Santa Barbara County Fire,-120.414875,34.605358,2018-01-09T13:49:00Z,1/9/18,12/14/17,N,TRUE,FALSE
Riverbottom Fire,TRUE,2019-07-09T13:52:05Z,2017-12-21T11:16:00Z,City of Riverside Fire Department,Riverside,"Mission Inn Ave. and Redwood Dr., Riverside",45,City of Riverside Fire Department,-117.38417,33.9885,2018-01-09T13:49:00Z,1/9/18,12/21/17,N,FALSE,FALSE
Holiday Fire,TRUE,2019-07-09T13:54:06Z,2017-12-28T20:51:00Z,Bureau of Indian Affairs,El Dorado,"off Hwy 395, south of Gardnerville in Nevada",80,Bureau of Indian Affairs,-119.61865,38.869036,2018-01-09T13:49:00Z,1/9/18,12/28/17,N,FALSE,FALSE
Haycamp Fire,TRUE,2019-01-03T09:43:00Z,2018-02-07T15:53:00Z,Fort Hunter Liggett Military Base,Monterey,"Nacimento Fergusson Road and Hayfork Road, west of the community of Lockwood",50,Fort Hunter Liggett Military Base,-121.28185,35.96689,2019-01-03T09:43:00Z,1/3/19,2/7/18,N,FALSE,FALSE
Pleasant Fire,TRUE,2019-01-03T09:43:00Z,2018-02-18T14:12:00Z,Unified Command: CAL FIRE San Bernardino Unit and Inyo County Sheriff's Office,Inyo,"Pleasant Valley Dam Road and Hwy 395, north of Bishop",2070,"Unified Command: CAL FIRE San Bernardino Unit and Inyo County Sheriff's Office, CAL FIRE, Inyo County Sheriff's Office, BLM, Inyo USFS, CAL OES, CHP, CDCR, CAL TRANS, Mono County Sheriff, Paradise Fire Dept., DWP, Mammoth Fire, Bishop Fire, Big Pine Fire, Independence Fire, Lone Pine Fire, Long Valley Fire, Wheeler Crest Fire, Red Cross and Southern California Edison.",-118.50235,37.40208,2019-01-03T09:43:00Z,1/3/19,2/18/18,N,TRUE,FALSE
Grant Fire,TRUE,2019-01-04T10:25:00Z,2018-05-14T13:06:00Z,CAL FIRE Santa Clara Unit,Alameda,"Grant Line Road and I-580, east of Livermore",12,CAL FIRE Santa Clara Unit,-121.6039,37.73835,2019-01-04T10:25:00Z,1/4/19,5/14/18,N,TRUE,FALSE
Patterson Fire,TRUE,2019-01-04T10:24:00Z,2018-05-17T14:19:00Z,CAL FIRE / Riverside County Fire,Riverside,"off Rawson Road and Royal Netherlands Road, south of Winchester",1261,CAL FIRE / Riverside County Fire,-117.05992,33.62924,2019-01-04T10:24:00Z,1/4/19,5/17/18,N,TRUE,FALSE
Tyler Fire,TRUE,2019-01-03T09:46:00Z,2018-04-15T04:38:00Z,CAL FIRE/Riverside County Fire Department,Riverside,"Tyler Street and Vista Del Sur, Coachella, City of Coachella",15,CAL FIRE/Riverside County Fire Department,-116.164058,33.711263,2019-01-03T09:46:00Z,1/3/19,4/15/18,N,TRUE,FALSE
Santa Cruz Fire,TRUE,2019-01-03T09:44:00Z,2018-03-27T14:45:00Z,Channel Islands National Park,Santa Barbara,"Channel Islands National Park, Santa Cruz Island",258,Channel Islands National Park,-119.76576,34.0232,2019-01-03T09:44:00Z,1/3/19,3/27/18,N,FALSE,FALSE
Rock Fire,TRUE,2019-01-03T09:45:00Z,2018-03-27T16:20:00Z,CAL FIRE Shasta Trinity Unit,Shasta,"Rock Creek Rd, SE of Shingletown",11,CAL FIRE Shasta Trinity Unit,-121.77419,40.4635,2019-01-03T09:45:00Z,1/3/19,3/27/18,N,TRUE,FALSE
Meadow Fire,TRUE,2019-01-03T09:46:00Z,2018-04-09T18:18:00Z,CAL FIRE / Riverside County Fire,Riverside,"Tin Mine Rd, north of the Cajalco Expressway",21,CAL FIRE / Riverside County Fire,-117.48144,33.86439,2019-01-03T09:46:00Z,1/3/19,4/9/18,N,TRUE,FALSE
Volcan Fire,TRUE,2019-01-04T10:25:00Z,2018-05-10T20:41:00Z,CAL FIRE San Diego Unit,San Diego,"Volcan Road and Farmer Road, north of the community of Julian",12,CAL FIRE San Diego Unit,-116.58759,33.12213,2019-01-04T10:25:00Z,1/4/19,5/10/18,N,TRUE,FALSE
Shastina Fire,TRUE,2019-01-04T10:25:00Z,2018-05-09T18:11:00Z,CAL FIRE Siskiyou Unit,Siskiyou,"west of Rancho Hills, community of Lake Shastina, north of Weed",127,CAL FIRE Siskiyou Unit,-122.48556,41.65935,2019-01-04T10:25:00Z,1/4/19,5/9/18,N,TRUE,FALSE
Lago Fire,TRUE,2019-01-03T13:10:00Z,2018-04-22T13:35:00Z,CAL FIRE/Riverside County Fire Department,Riverside,"Via Del Lago and Alta Calle, Lake Perris, Moreno Valley",18,CAL FIRE/Riverside County Fire Department,-117.16232,33.88744,2019-01-03T13:10:00Z,1/3/19,4/22/18,N,TRUE,FALSE
French Fire,TRUE,2019-01-04T10:27:00Z,2018-04-26T15:00:00Z,USFS - Plumas National Forest,Plumas,"Frenchman Lake Rd., south of Frenchman Lake, 7 miles north of Chilcoot",20,USFS - Plumas National Forest,-120.18499,39.89075,2019-01-04T10:27:00Z,1/4/19,4/26/18,N,FALSE,FALSE
Happy Fire,TRUE,2019-01-04T10:25:00Z,2018-05-17T12:53:00Z,Santa Barbara County Fire,Santa Barbara,"Alisos Canyon Rd, Santa Ynez, north of Santa Barbara ",60,Santa Barbara County Fire,-120.18236,34.74245,2019-01-04T10:25:00Z,1/4/19,5/17/18,N,TRUE,FALSE
Jacques Fire,TRUE,2019-01-04T10:26:00Z,2018-05-09T22:00:00Z,Unified Command: CAL FIRE and Camp Pendleton Fire,San Diego,"De Luz Rd and Wisecarver fuel break, Camp Pendleton Marine Corps Base",18,Unified Command: CAL FIRE and Camp Pendleton Fire,-117.27467,33.40178,2019-01-04T10:26:00Z,1/4/19,5/9/18,N,FALSE,FALSE
Alpha Fire,TRUE,2019-01-04T10:26:00Z,2018-05-04T11:44:00Z,Department of Defense - Camp Pendleton ,San Diego,"Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base",300,Department of Defense - Camp Pendleton ,-117.502405,33.389425,2019-01-04T10:26:00Z,1/4/19,5/4/18,N,FALSE,FALSE
Nees Fire,TRUE,2019-01-04T10:26:00Z,2018-05-02T16:00:00Z,CAL FIRE Madera-Mariposa-Merced Unit ,Merced,Interstate 5 and W Nees Ave. south of Los Banos ,1756,CAL FIRE Madera-Mariposa-Merced Unit ,-120.77206,36.85156,2019-01-04T10:26:00Z,1/4/19,5/2/18,N,TRUE,FALSE
Tornado Fire,TRUE,2019-01-04T10:26:00Z,2018-05-04T14:48:00Z,CAL FIRE/ Riverside County Fire,Riverside,"Via Santa Rosa near Via Tornado, southwest of Temecula",70,CAL FIRE/ Riverside County Fire,-117.148204,33.504964,2019-01-04T10:26:00Z,1/4/19,5/4/18,N,TRUE,FALSE
Woodchuck Fire,TRUE,2019-01-04T10:26:00Z,2018-05-04T18:53:00Z,CAL FIRE/ Riverside County Fire,Riverside,"Hwy 79 & Woodchuck Road, Temecula",15,CAL FIRE/ Riverside County Fire,-117.003829,33.467999,2019-01-04T10:26:00Z,1/4/19,5/4/18,N,TRUE,FALSE
Moffat Fire,TRUE,2019-01-03T13:09:00Z,2018-04-19T10:28:00Z,"Unified Command: CAL FIRE San Bernardino Unit, Cal Trans, and Inyo County Sheriff's Office",Inyo,"Highway 395 and Moffat Ranch Road, north of Lone Pine",1265,"Unified Command: CAL FIRE San Bernardino Unit, Cal Trans, and Inyo County Sheriff's Office, United State Forest Service, Beareau of Land Management, California Highway Patrol, CAL TRANS, Inyo Sheriff, Los Angeles Dept. of Water and Power, Lone Pine Vounteer FD",-118.08449,36.71537,2019-01-03T13:09:00Z,1/3/19,4/19/18,N,TRUE,FALSE
Grape Fire,TRUE,2019-01-03T15:23:00Z,2018-04-24T16:59:00Z,USFS - Shasta-Trinity National Forest,Humboldt,"Black Bennet Rd. near Grape Creek, 8 miles southwest of Burnt Ranch",0,USFS - Shasta-Trinity National Forest,-123.55012,40.70258,2019-01-03T15:23:00Z,1/3/19,4/24/18,N,FALSE,FALSE
Main Fire,TRUE,2019-01-04T10:26:00Z,2018-04-28T14:26:00Z,CAL FIRE / Riverside County Fire,Riverside,"Main Street and Interstate 15, City of Lake Elsinore",73,CAL FIRE / Riverside County Fire,-117.32281,33.67815,2019-01-04T10:26:00Z,1/4/19,4/28/18,N,TRUE,FALSE
White Fire,TRUE,2019-01-04T10:24:00Z,2018-05-18T11:00:00Z,CAL FIRE Tulare Unit,Tulare,"off Road 272 and Avenue 2, east of Delano",26,CAL FIRE Tulare Unit,-118.9821,35.826333,2019-01-04T10:24:00Z,1/4/19,5/18/18,N,TRUE,FALSE
Jelly Fire,TRUE,2019-01-04T10:24:00Z,2018-05-18T16:37:00Z,CAL FIRE Tehama-Glenn Unit,Tehama,"Off Jellysferry Rd, north of Red Bluff",103,CAL FIRE Tehama-Glenn Unit,-122.21032,40.31759,2019-01-04T10:24:00Z,1/4/19,5/18/18,N,TRUE,FALSE
Ager Fire,TRUE,2019-01-04T10:24:00Z,2018-05-19T13:04:00Z,CAL FIRE Siskiyou Unit,Siskiyou,"off Ager Road, northeast of Montague",27,CAL FIRE Siskiyou Unit,-122.513883,41.791859,2019-01-04T10:24:00Z,1/4/19,5/19/18,N,TRUE,FALSE
Plaza Fire,TRUE,2019-01-04T10:24:00Z,2018-05-20T13:07:00Z,CAL FIRE Mariposa-Madera-Merced Unit,Merced,off Highway 33 and south of Highway 152,88,CAL FIRE Mariposa-Madera-Merced Unit,-121.01638,37.056944,2019-01-04T10:24:00Z,1/4/19,5/20/18,N,TRUE,FALSE
Bellagio Fire,TRUE,2019-01-04T10:23:00Z,2018-05-21T11:56:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"American Canyon Rd, East of American Canyon",12,CAL FIRE Sonoma-Lake-Napa Unit,-122.23059,38.16303,2019-01-04T10:23:00Z,1/4/19,5/21/18,N,TRUE,FALSE
Agua Fire,TRUE,2019-01-04T10:23:00Z,2018-05-22T14:13:00Z,CAL FIRE San Diego Unit,San Diego,"Hwy 76 and Agua Tibia Ranch Rd, 7.5 miles east of I-15",59,CAL FIRE San Diego Unit,-117.03134,33.35505,2019-01-04T10:23:00Z,1/4/19,5/22/18,N,TRUE,FALSE
Experimental Fire,TRUE,2019-01-04T10:23:00Z,2018-05-23T14:30:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Off Hwy 41 & Rd 406, south of ONeals",56,"CAL FIRE Madera-Mariposa-Merced Unit, Sierra National Forest",-119.75307,37.0979,2019-01-04T10:23:00Z,1/4/19,5/23/18,N,TRUE,FALSE
