incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Power Fire,TRUE,2020-07-15T19:09:02Z,2020-07-11T17:57:49Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Road 222 and Road 235, South of North Fork",108,"CAL FIRE, Madera County Sheriff’s Office, USFS, CHP, Madera County Roads, PG&E, North Fork Rancheria Mono Indians of California.",-119.50307,37.1487,2020-07-15T19:07:00Z,7/15/20,7/11/20,N,TRUE,FALSE
Elliot Fire,TRUE,2020-07-15T18:45:16Z,2020-07-13T12:55:16Z,CALFIRE Riverside County Fire Unit,Riverside,"Block Elliot Rd, south of  Winchester",2,,-117.108421,33.623968,2020-07-13T18:45:00Z,7/13/20,7/13/20,N,TRUE,FALSE
Robinson Fire,TRUE,2020-07-15T19:11:29Z,2020-07-13T15:06:35Z,CAL FIRE Butte County Fire Unit,Butte,"Gold Mountain Rd and Stoney Oaks Blvd, northeast of Bangor",33,,-121.37994,39.43227,2020-07-15T19:09:00Z,7/15/20,7/13/20,N,TRUE,FALSE
Casino Fire,TRUE,2020-07-16T07:11:10Z,2020-07-13T15:08:00Z,CALFIRE Riverside County Fire Unit/ USFS San Bernardino National Forest,Riverside,"Hwy 371 and Santos Rd, south of Anza",91,,-116.83552,33.48429,2020-07-15T07:07:00Z,7/15/20,7/13/20,N,TRUE,FALSE
Mineral Fire,TRUE,2020-07-26T19:40:58Z,2020-07-13T16:40:36Z,CAL FIRE Fresno-Kings Unit,Fresno,"Hwy 198 and S Coalinga Mineral Springs Rd, west of Coalinga",29667,"Cooperating Agencies: California Highway Patrol, Bureau of Land Management, Fresno County Sheriff, Fresno County Office of Emergency Services, Coalinga City Fire, Coalinga Police and Public Works, California Conservation Corp, California Department of Corrections and Rehabilitation.",-120.52193,36.09493,2020-07-26T19:41:00Z,7/26/20,7/13/20,N,TRUE,FALSE
Coyote Fire,TRUE,2020-07-18T07:36:18Z,2020-07-15T14:04:08Z,CAL FIRE San Benito- Monterey Unit ,San Benito,"Panoche Road and Coyote Creek, West of Panoche",1508,,-121.04401,36.653,2020-07-18T07:36:00Z,7/18/20,7/15/20,N,TRUE,FALSE
Ben Fire,TRUE,2020-07-18T07:58:22Z,2020-07-15T16:44:16Z,CAL FIRE Madera-Mairposa-Merced Unit,Mariposa,"Ben Hur Road and Buckeye Road, South of Mariposa  ",48,,-119.95807,37.42319,2020-07-18T07:58:00Z,7/18/20,7/15/20,N,TRUE,FALSE
Valley Fire ,TRUE,2020-07-15T19:12:02Z,2020-07-15T17:18:23Z,Department of Defense ,Yuba,"Spenceville Road and Gandry Drive, Southeast of Beale Air Force base ",500,,-121.33589,39.10112,2020-07-15T19:11:00Z,7/15/20,7/15/20,N,FALSE,FALSE
Hollow Fire,TRUE,2020-07-19T13:26:27Z,2020-07-16T18:14:18Z,CAL FIRE Santa Clara Unit,Alameda,"Tesla Road and McLaughlin Road, Southeast of Livermore",253,,-121.59374,37.64044,2020-07-19T13:26:00Z,7/19/20,7/16/20,N,TRUE,FALSE
Pitzer Fire,TRUE,2020-07-20T20:55:04Z,2020-07-17T14:59:54Z,CAL FIRE San Bernardino Unit,San Bernardino,"Pitzer Buttes Road and Power line Road,  South of Lucerne Valley ",119,,-116.97557,34.39464,2020-07-20T20:54:00Z,7/20/20,7/17/20,N,TRUE,FALSE
