incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Riverside,60.0,San Bernardino National Forest,2013-08-06,2013-08-08,2.0
Lake,38.0,CAL FIRE Sanoma-Lake-Napa Unit,2013-08-07,2013-08-07,0.0
Riverside,20292.0,"CAL FIRE Riverside Unit / San Bernardino National Forest, Federal, State and Local Agencies from throughout the Western United States are assisting.",2013-08-07,2013-08-12,5.0
Humboldt,12503.0,Six Rivers National Forest,2013-08-10,2013-08-12,2.0
Siskiyou,50.0,CAL FIRE Siskiyou Unit,2013-08-15,2013-08-15,0.0
El Dorado,116.0,CAL FIRE Amador-El Dorado Unit,2013-08-16,2013-08-16,0.0
San Bernardino,243.0,Angeles National Forest,2013-08-08,2013-08-13,5.0
Shasta,27.0,CAL FIRE Shasta-Trinity Unit,2013-08-14,2013-08-14,0.0
Butte,2462.0,"CAL FIRE Butte Unit, United States Forest Service, Oroville Fire Department, El Medio Fire Department, Chico Fire Department, Butte County Sheriff, California Highway Patrol, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Bureau of Land Management, South Feather Water and Power, Red Cross, North Valley Animal Rescue Group.",2013-08-16,2013-08-22,6.0
Placer,27440.0,Tahoe National Forest,2013-08-10,2013-08-30,20.0
Lassen,97.0,CAL FIRE Lassen-Modoc Unit,2013-08-09,2013-08-12,3.0
Riverside,40.0,CAL FIRE/Riverside County Fire,2013-08-16,2013-08-16,0.0
Lake,70.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-08-16,2013-08-18,2.0
Calaveras,46.0,"CAL FIRE Tuolumne-Calaveras Unit, Altaville/Melones Fire; Angels City Fire; Murphys Fire; West Point Fire; Central Fire; San Joaquin County; Stanislaus County; Stanislaus National Forest; Los Angeles County Fire.",2013-08-17,2013-08-19,2.0
San Bernardino,110.0,San Bernardino National Forest,2013-08-17,2013-08-18,1.0
Shasta,8073.0,"CAL FIRE Shasta-Trinity Unit, USFS, City of Redding, Anderson Fire Protection District, Burney Fire Protection District, Cottonwood Fire Protection District, Happy Valley Fire Protection District, Shasta County Sheriffs Dept., CHP, Redding Police Dept., Cal OES, PG&E",2013-09-09,2013-09-15,6.0
Plumas,513.0,Plumas National Forest,2013-08-18,2013-08-25,7.0
Kern,794.0,Sequoia National Forest,2013-08-18,2013-08-24,6.0
Shasta,196.0,CAL FIRE Shasta Unit ,2013-08-19,2013-08-23,4.0
San Bernardino,200.0,San Bernardino National Forest/CAL FIRE San Bernardino Unit,2013-09-24,2013-09-30,6.0
Tehama,11429.0,"CAL FIRE Tehama-Glenn Unit, CDCR, USFS, California Fish & Wildlife, California National Guard, Tehama County Sheriff's Office, PG&E",2013-08-23,2013-08-29,6.0
San Bernardino,413.0,San Bernardino National Forest,2013-08-20,2013-08-20,0.0
Tulare,2060.0,Sequoia National Forest,2013-08-24,2013-09-24,31.0
El Dorado,38.0,CAL FIRE Amador-El Dorado Unit,2013-08-24,2013-08-24,0.0
San Bernardino,97.0,San Bernardino National Forest,2013-08-24,2013-08-30,6.0
San Mateo,41.0,CAL FIRE San Mateo-Santa Cruz Unit,2013-09-07,2013-09-07,0.0
Contra Costa,3111.0,"CAL FIRE Santa-Clara Unit, CAL FIRE, East Contra Costa Fire Protection District, Contra Costa Fire Protection District, San Ramon Valley Fire, East Bay Regional Parks, CALOES, CDCR, California State Parks, California Highway Patorl, CalTrans, Contra Costa County Sheriff's Department, Contra Costa Public Works, Clayton PD, PG&E, America Red Cross and the Salvation Army.",2013-09-08,2013-09-14,6.0
Tulare,134.0,Sequoia National Forest,2013-09-08,2013-09-24,16.0
San Bernardino,73.0,CAL FIRE San Bernardino Unit,2013-09-11,2013-09-12,1.0
