incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Lassen,2575.0,"CAL FIRE Lassen-Modoc Unit, USFS LNF, BLM, Susanville City, Susanville Police, Sierra Army Depot, Standish Litchfield Fire, Milford Fire, Janesville Fire, Lake Forest Fire, Hamilton Branch Fire, California Department of Corrections and Rehabilitation, California Highway Patrol, Red Cross, Lassen County OES, Lassen County Sheriff’s Office, Susan River FD, Susanville City Fire, Bureau of Land Management, CA Office of Emergency Service, California Conservation Corp, and WM Beaty",2016-09-11,2016-09-22,11.0
Butte,88.0,CAL FIRE Butte Unit,2016-08-26,2016-08-30,4.0
Calaveras,450.0,CAL FIRE Tuolumne-Calaveras Unit,2016-08-28,2016-08-31,3.0
Tulare,395.0,US Forest Service - Sequoia National Forest,2016-08-22,2016-11-08,78.0
Siskiyou,710.0,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff, CHP, CAL TRANS, Siskiyou County OES",2016-08-24,2016-08-30,6.0
Modoc,380.0,CAL FIRE Lassen-Modoc Unit,2016-09-11,2016-09-14,3.0
Kern,518.0,Kern County Fire Department,2016-08-26,2016-08-29,3.0
Lake,20.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-08-30,2016-08-31,1.0
Siskiyou,32.0,CAL FIRE Siskiyou Unit,2016-09-12,2016-09-13,1.0
Butte,30.0,CAL FIRE Butte Unit,2016-09-16,2016-09-19,3.0
Tehama,360.0,CAL FIRE Tehama-Glenn Unit,2016-09-13,2016-09-13,0.0
Del Norte,150.0,Stanislaus National Forest,2016-09-13,2016-09-17,4.0
Nevada,47.0,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,2016-09-17,2016-09-20,3.0
Inyo,5443.0,Inyo National Forest,2016-09-17,2016-09-18,1.0
Modoc,2652.0,Modoc National Forest,2016-09-17,2016-10-13,26.0
Santa Barbara,12518.0,Vandenberg Air Force Base,2016-09-17,2016-09-27,10.0
Santa Barbara,215.0,Vandenberg Air Force Base,2016-09-22,2016-09-27,5.0
Butte,130.0,CAL FIRE Butte Unit,2016-09-22,2016-09-23,1.0
Sutter,300.0,Beale Air Force Base,2016-09-20,2016-09-20,0.0
Amador,45.0,"CAL FIRE Amador-El Dorado Unit, Amador Fire Protection District, Jackson Fire, Ione Fire, Sutter Creek Fire, CHP, Amador County Sheriff, Caltrans",2016-09-23,2016-09-25,2.0
Tuolumne,1080.0,"CAL FIRE Tuolumne-Calaveras Unit, Tuolumne County Sheriff’s Department, CHP, PG&E, OES, BLM, CAL FIRE, CDCR, U.S. Forest Service, City and County of San Francisco – Hetch Hetchy Water & Power. Nearly 100 different agencies from at least three different states have sent equipment and/or personnel to this fire.",2016-09-26,2016-10-04,8.0
Fresno,70.0,CAL FIRE Fresno-Kings unit,2016-09-23,2016-09-24,1.0
Shasta,100.0,CAL FIRE Shasta-Trinity Unit,2016-09-25,2016-09-25,0.0
Sonoma,1547.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL PINE, Napa County Fire, Cloverdale FPD, Geyserville FPD, Healdsburg FD, Windsor FPD, Sonoma and Lake County Sheriff's Office, CA Highway Patrol, Red Cross, CA Dept. of Corrections and Rehabilitation, North Bay Incident Management Team, Sonoma County Animal Services",2016-09-25,2016-09-29,4.0
Plumas,248.0,US Forest Service - Plumas NF,2016-09-26,2016-10-06,10.0
Santa Clara,4474.0,"CAL FIRE Santa Clara Unit, California Highway Patrol, Santa Clara County Sheriff’s Office, Santa Cruz County Sheriff’s Office, California Department of Corrections and Rehabilitation, San Jose Water Company, Santa Clara Valley Water District, Pacific Gas and Electric and Santa Clara County Office of Emergency Services, California Conservation Corps, Red Cross, Santa Clara County Fire Safe Council, Santa Clara County Parks, Santa Clara County Open Space District, and Mid-Peninsula Open Space District, Santa Clara County Roads and Airports, Santa Cruz Public Works, Pacific Gas and Electric, and Cal OES.",2016-09-26,2017-09-19,358.0
Fresno,2100.0,USFS Sierra National Forest,2016-10-11,2016-10-20,9.0
El Dorado,176.0,"CAL FIRE Amador- El Dorado Unit / USFS El Dorado National Forest / Lake Valley Fire, CAL FIRE, USFS, Lake Valley, Meeks Bay Fire, South Lake Tahoe Fire, El Dorado Sheriffs, SLT PD, CHP, State Parks, CALTrans, Fallen Leaf Lake Fire, North Tahoe Fire, Liberty Utilities",2016-10-14,2016-10-17,3.0
San Diego,28.0,CAL FIRE San Diego Unit,2016-11-13,2016-11-14,1.0
Los Angeles,4824.0,Angeles National Forest ,2016-11-14,2016-11-14,0.0
Tulare,10.0,Sequoia National Forest,2016-10-20,2016-12-19,60.0
Tulare,4347.0,Sequoia National Forest,2016-10-29,2016-12-19,51.0
Fresno,30.0,CAL FIRE / Fresno County Fire,2018-04-12,2019-01-03,266.0
Butte,0.0,"Unified Command, Butte County Sheriff, Butte County CALFIRE, Oroville Police Department, CHP, Butte County OES, California State Parks, Caltrans, Oroville Fire Department, Butte County Public Works, PG&E, CAL FIRE, Army Corps of Engineers, Federal Energy Regulatory Commission, Oroville Hospital, Red Cross, California Conservation Corps, California National Guard, Bureau of Indian Affairs, CAL OES, Gridley-Biggs Police, and California Department of Fish and Wildlife.",2017-02-07,2018-01-09,336.0
Shasta,45.0,CAL FIRE Shasta-Trintiy Unit,2017-04-03,2018-01-09,281.0
Modoc,380.0,CAL FIRE Lassen-Modoc Unit,2017-04-03,2018-01-09,281.0
Riverside,15.0,CAL FIRE Riverside Unit,2017-04-13,2018-01-09,271.0
Fresno,5738.0,CAL FIRE Fresno Kings Unit,2017-04-20,2018-01-09,264.0
Monterey,10.0,CAL FIRE San Benito-Monterey Unit ,2017-04-24,2018-01-09,260.0
Fresno,976.0,Fresno County Fire ,2017-04-28,2018-01-09,256.0
Fresno,126.0,CAL FIRE Fresno-Kings Unit,2017-04-29,2018-01-09,255.0
San Bernardino,150.0,USFS - San Bernardino National Forest,2017-04-30,2018-01-09,254.0
Riverside,1350.0,CAL FIRE/Riverside County Fire,2017-04-30,2018-01-09,254.0
Riverside,12.0,CAL FIRE/Riverside County Fire,2017-04-30,2018-01-09,254.0
Kern,19.0,Kern County Fire,2017-05-01,2018-01-09,253.0
San Luis Obispo,130.0,CAL FIRE San Luis Obispo Unit,2017-05-02,2018-01-09,252.0
San Luis Obispo,12.0,CAL FIRE San Luis Obispo Unit,2017-05-07,2018-01-09,247.0
Fresno,400.0,CAL FIRE/Fresno County Fire,2017-05-10,2018-01-09,244.0
Kern,31.0,Kern County Fire,2017-05-12,2018-01-09,242.0
Merced,1800.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-05-12,2018-01-09,242.0
Monterey,20.0,CAL FIRE San Benito-Monterey Unit,2017-05-14,2018-01-09,240.0
Riverside,17.0,CAL FIRE/Riverside County Fire,2017-05-14,2018-01-09,240.0
Kern,41.0,Kern County Fire,2017-05-14,2018-01-09,240.0
San Luis Obispo,225.0,CAL FIRE San Luis Obispo Unit,2017-05-15,2018-01-09,239.0
Kern,288.0,Kern County Fire,2017-05-15,2018-01-09,239.0
Monterey,18.0,CAL FIRE San Benito - Monterey Unit,2017-05-16,2018-01-09,238.0
Monterey,17.0,CAL FIRE San Benito Monterey Unit,2017-05-17,2018-01-09,237.0
Madera,150.0,Madera County Fire Department,2017-05-17,2018-01-09,237.0
San Luis Obispo,225.0,CAL FIRE San Luis Obispo Unit,2017-05-18,2018-01-09,236.0
Fresno,10343.0,"CAL FIRE/Fresno County Fire, Fresno County Sheriff’s Office, Fresno County OES, PG&E, BLM, Red Cross, California Highway Patrol",2017-05-18,2018-01-09,236.0
Kings,20.0,CAL FIRE/Fresno County Fire,2017-05-18,2018-01-09,236.0
Riverside,14.0,CAL FIRE/Riverside County Fire,2017-05-18,2018-01-09,236.0
Fresno,70.0,CAL FIRE Fresno-Kings Unit,2017-05-19,2018-01-09,235.0
Merced,12.0,CAL FIRE Madera-Mariposa-Merced Unit,1969-12-31,2018-01-09,17541.0
San Luis Obispo,0.0,Department of Defense - Camp Roberts,2017-05-19,2018-01-09,235.0
San Diego,486.0,Camp Pendleton Marine Base,2017-05-19,2018-01-09,235.0
San Diego,2056.0,CAL FIRE San Diego Unit,2017-05-20,2018-01-09,234.0
San Luis Obispo,17.0,CAL FIRE San Luis Obispo Unit,2017-05-20,2018-01-09,234.0
Kern,506.0,Kern County Fire,2017-05-20,2018-01-09,234.0
Riverside,10.0,CAL FIRE/Riverside County Fire,2017-05-23,2018-01-09,231.0
Santa Barbara,190.0,Santa Barbara County,2017-05-20,2018-01-09,234.0
San Diego,25.0,CAL FIRE San Diego Unit,2017-05-24,2018-01-09,230.0
San Benito,21.0,CAL FIRE San Benito-Monterey Unit,2017-05-22,2018-01-09,232.0
Riverside,35.0,CAL FIRE/ Riverside County Fire,2017-05-21,2018-01-09,233.0
San Diego,1000.0,Camp Pendleton Marine Base,2017-05-25,2018-01-09,229.0
Riverside,120.0,CAL FIRE/Riverside County Fire,2017-05-25,2018-01-09,229.0
Kern,10.0,Kern County Fire Department,2017-05-28,2018-01-09,226.0
Fresno,16.0,CAL FIRE Fresno-Kings Unit,2017-05-28,2018-01-09,226.0
Riverside,48.0,CAL FIRE Riverside Unit,2017-05-28,2018-01-09,226.0
Calaveras,15.0,CAL FIRE Tuolumne-Calaveras Unit,2017-05-28,2018-01-09,226.0
Fresno,18.0,CAL FIRE Fresno-Kings Unit,2017-05-28,2018-01-09,226.0
San Bernardino,16.0,CAL FIRE San Bernardino Unit,2017-05-29,2018-01-09,225.0
Tulare,79.0,CAL FIRE Tulare Unit,2017-05-31,2018-01-09,223.0
Yuba,10.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-05-29,2018-01-09,225.0
Sacramento,68.0,CAL FIRE Amador-El Dorado Unit,2017-06-01,2018-01-09,222.0
Riverside,26.0,CAL FIRE/Riverside County Fire,2017-06-01,2018-01-09,222.0
Kern,16.0,Kern County Fire Department,2017-06-02,2018-01-09,221.0
Modoc,42.0,CAL FIRE Lassen-Modoc Unit,2017-06-03,2018-01-09,220.0
Riverside,27.0,CAL FIRE / Riverside County Fire,2017-06-03,2018-01-09,220.0
Los Angeles,25.0,Los Angeles County Fire Department,2017-06-03,2018-01-09,220.0
Kern,33.0,"Kern County Fire Department, CAL FIRE and Bureau of Land Management",2017-06-04,2018-01-09,219.0
Tehama,78.0,CAL FIRE Tehama-Glenn Unit,2017-06-04,2018-01-09,219.0
Lassen,67.0,CAL FIRE Lassen-Modoc Unit,2017-06-04,2018-01-09,219.0
Riverside,10.0,CAL FIRE/Riverside County Fire,2017-06-04,2018-01-09,219.0
Contra Costa,20.0,CAL FIRE Santa Clara Unit,2017-06-05,2018-01-09,218.0
Kern,10.0,Kern County Fire,2017-06-05,2018-01-09,218.0
Butte,91.0,CAL FIRE/Butte County Fire,2017-06-06,2018-01-09,217.0
Siskiyou,46.0,CAL FIRE Siskiyou Unit,2017-06-06,2018-01-09,217.0
Tulare,339.0,"CAL FIRE Tulare Unit, CHP, Tulare Co. Fire Dept., Tulare Co. Sheriff’s Dept., CalOES, CDCR, BLM, NPS, American Red Cross",2017-06-07,2018-01-09,216.0
Madera,157.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-06-07,2018-01-09,216.0
Kern,206.0,Kern County Fire Department,2017-06-10,2018-01-09,213.0
,0.0,Bureau of Land Management,2017-06-09,2018-01-09,214.0
Kern,35.0,Kern County Fire Department,2017-06-09,2018-01-09,214.0
Monterey,14.0,CAL FIRE San Benito-Monterey Unit,2017-06-09,2018-01-09,214.0
Madera,1431.0,"CAL FIRE Madera-Mariposa-Merced Unit, PG&E, USFS, CHP, Madera Sheriff's Office, Fresno County Fire, Madera County Fire",2017-06-10,2018-01-09,213.0
Fresno,186.0,CAL FIRE Fresno Unit / Fresno County Fire,2017-06-11,2018-01-09,212.0
Napa,22.0,Sonoma-Lake Napa Unit,2017-06-13,2018-01-09,210.0
Monterey,32.0,CAL FIRE San Benito-Monterey Unit,2017-06-11,2018-01-09,212.0
Fresno,450.0,CAL FIRE/Fresno County Fire,2017-06-11,2018-01-09,212.0
Fresno,76.0,CALFIRE/Fresno County Fire,2017-06-11,2018-01-09,212.0
Tuolumne,38.0,CAL FIRE Tuolumne-Calaveras Unit,2017-06-11,2018-01-09,212.0
Riverside,33.0,CAL FIRE / Riverside County Fire,2017-06-13,2018-01-09,210.0
San Diego,50.0,MCI Camp Pendleton,2017-06-13,2018-01-09,210.0
Tulare,135.0,"CAL FIRE Tulare Unit, Tulare Co. FD, Tulare Co. Sheriff’s Department",2017-06-13,2018-01-09,210.0
Riverside,20.0,CAL FIRE / Riverside County Fire,2017-06-13,2018-01-09,210.0
San Luis Obispo,150.0,CAL FIRE San Luis Obispo Unit,2017-06-14,2018-01-09,209.0
Mariposa,63.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-06-15,2018-01-09,208.0
Riverside,105.0,CAL FIRE / Riverside County Fire,2017-06-15,2018-01-09,208.0
Riverside,28.0,CAL FIRE/Riverside County Fire,2017-06-15,2018-01-09,208.0
Butte,134.0,CAL FIRE / Butte County Fire,2017-06-16,2018-01-09,207.0
Riverside,10.0,CAL FIRE/Riverside County Fire,2017-06-16,2018-01-09,207.0
Monterey,32.0,CAL FIRE San Benito-Monterey Unit,2017-06-16,2018-01-09,207.0
Los Angeles,800.0,Unified Command LA County Fire and USFS,2017-06-17,2018-01-09,206.0
Tehama,60.0,CAL FIRE Tehama-Glenn Unit,2017-06-18,2018-01-09,205.0
Riverside,10.0,CAL FIRE / Riverside County Fire,2017-06-18,2018-01-09,205.0
Riverside,153.0,CAL FIRE / Riverside County Fire,2017-06-18,2018-01-09,205.0
Madera,25.0,Madera County Fire,2017-06-18,2018-01-09,205.0
Kern,1522.0,Sequoia National Forest,2017-06-18,2018-01-09,205.0
Riverside,26.0,CAL FIRE / Riverside County Fire,2017-06-18,2018-01-09,205.0
Siskiyou,56.0,CAL FIRE Siskiyou Unit,2017-06-18,2018-01-09,205.0
Solano,39.0,Vallejo City Fire Department,2017-06-22,2018-01-09,201.0
San Bernardino,1503.0,San Bernardino National Forest,2017-06-19,2018-01-09,204.0
Sierra,168.0,USFS - Humboldt-Toiyabe National Forest,2017-06-19,2018-01-09,204.0
Stanislaus,65.0,CAL FIRE Tuolumne-Calaveras Unit,2017-06-21,2018-01-09,202.0
Santa Clara,54.0,CAL FIRE Santa Clara Unit,2017-06-21,2018-01-09,202.0
Butte,21.0,CAL FIRE/Butte County Fire,2017-06-22,2018-01-09,201.0
Butte,111.0,CAL FIRE / Butte County Fire,2017-06-22,2018-01-09,201.0
Fresno,357.0,CAL FIRE / Fresno County Fire,2017-06-23,2018-01-09,200.0
Tehama,42.0,CAL FIRE Tehama-Glenn Unit,2017-06-24,2018-01-09,199.0
Tulare,0.0,Tulare County,2017-06-23,2018-01-09,200.0
Los Angeles,760.0,LA County Fire Department,2017-06-25,2018-01-09,198.0
San Diego,36.0,CAL FIRE San Diego Unit / Cleveland National Forest,2017-06-25,2018-01-09,198.0
Riverside,6309.0,CAL FIRE/Riverside County Fire,2017-06-26,2018-01-09,197.0
Siskiyou,19.0,CAL FIRE Siskiyou Unit,2017-06-26,2018-01-09,197.0
San Luis Obispo,1598.0,CAL FIRE San Luis Obispo Unit,2017-06-26,2018-01-09,197.0
Sacramento,35.0,CAL FIRE Amador-El Dorado Unit,2017-06-27,2018-01-09,196.0
Marin,38.0,Marin County Fire Department,2017-06-27,2018-01-09,196.0
San Diego,25.0,CAL FIRE San Diego Unit,2017-06-27,2018-01-09,196.0
San Bernardino,670.0,USFS - San Bernardino National Forest ,2017-06-27,2018-01-09,196.0
Del Norte,28.0,CAL FIRE Humboldt-Del Norte Unit,2017-06-26,2018-01-09,197.0
Santa Clara,85.0,CAL FIRE Santa Clara Unit,2017-06-29,2018-01-09,194.0
Monterey,15.0,CAL FIRE San Benito-Monterey,2017-06-28,2018-01-09,195.0
Modoc,562.0,Modoc National Forest,2017-06-28,2018-01-09,195.0
Mariposa,630.0,"CAL FIRE Madera-Mariposa-Merced Unit, Mariposa County Fire, Mariposa County Sheriff, CHP, PG&E, CAL FIRE, CCC",2017-06-28,2018-01-09,195.0
San Diego,0.0,Camp Pendleton Marine Corps Base,2017-06-28,2018-01-09,195.0
Kern,1200.0,Kern County Fire,2017-06-30,2018-01-09,193.0
Monterey,42.0,CAL FIRE San Benito-Monterey Unit,2017-06-29,2018-01-09,194.0
Los Angeles,55.0,Los Angeles County Fire Department,2017-06-29,2018-01-09,194.0
Los Angeles,41.0,Los Angeles County Fire Department,2017-06-29,2018-01-09,194.0
Shasta,128.0,CAL FIRE Shasta-Trinity Unit,2017-07-01,2018-01-09,192.0
Nevada,10.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-07-02,2018-01-09,191.0
Riverside,11.0,CAL FIRE Riverside Unit,2017-07-02,2018-01-09,191.0
Butte,14.0,CAL FIRE Butte Unit,2017-07-02,2018-01-09,191.0
Mariposa,225.0,"CAL FIRE Madera-Mariposa-Merced Unit, Mariposa County Sheriff Office, Mariposa County Fire, PG&E, Caltrans, Mariposa County Public Works, CHP, Red Cross, CAL FIRE.",2017-07-02,2018-01-09,191.0
Fresno,1538.0,CAL FIRE / Fresno County Fire,2017-07-02,2018-01-09,191.0
Riverside,30.0,CAL FIRE / Riverside County Fire,2017-07-03,2018-01-09,190.0
Riverside,10.0,CAL FIRE/Riverside County Fire Department ,2017-07-03,2018-01-09,190.0
Riverside,50.0,CAL FIRE/Riverside County Fire Department,2017-07-03,2018-01-09,190.0
San Benito,34.0,CAL FIRE San Benito-Monterey Unit,2017-07-04,2018-01-09,189.0
San Bernardino,13.0,CAL FIRE San Bernardino Unit / San Bernardino National Forest,2017-07-04,2018-01-09,189.0
Fresno,57.0,CAL FIRE / Fresno County Fire,2017-07-04,2018-01-09,189.0
Riverside,35.0,CAL FIRE / Riverside County Fire,2017-07-04,2018-01-09,189.0
Butte,18.0,CAL FIRE / Butte County Fire,2017-07-04,2018-01-09,189.0
Ventura,50.0,Ventura County Fire Department,2017-07-04,2018-01-09,189.0
Siskiyou,0.0,Klamath National Forest,2017-07-04,2018-01-09,189.0
Riverside,205.0,CAL FIRE / Riverside County Fire,2017-07-04,2018-01-09,189.0
Tulare,21.0,CAL FIRE Tulare Unit,2017-07-05,2018-01-09,188.0
Siskiyou,469.0,CAL FIRE Siskiyou Unit,2017-07-05,2018-01-09,188.0
El Dorado,74.0,"CAL FIRE Amador-El Dorado Unit, USFS, Garden Valley Fire, Sacramento Metro Fire, El Dorado County Fire, El Dorado Hills Fire, Georgetown Fire, EDSO, BLM",2017-07-08,2018-01-09,185.0
Stanislaus,62.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-08,2018-01-09,185.0
Fresno,91.0,CAL FIRE/Fresno County Fire,2017-07-05,2018-01-09,188.0
Calaveras,22.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-05,2018-01-09,188.0
Yolo,2269.0,"CAL FIRE Sonoma-Lake-Napa Unit , Yolo County Sheriff, CDCR, CHP, Caltrans, PG&E, North Bay Incident Management Team, Winters Fire Department, and Fire Agencies from Yolo, Solano, and Sacramento Counties.",2017-07-06,2018-01-09,187.0
Kern,1626.0,Kern County Fire,2017-07-06,2018-01-09,187.0
San Luis Obispo,28687.0,"Unified Command: CAL FIRE San Luis Obispo Unit / Santa Barbara County / Los Padres National Forest, California Highway Patrol, San Luis Obispo County Sheriff, Santa Barbara County Sheriff, Red Cross, CAL-OES, California Department of Corrections and Rehabilitation, California Conservation Corps, and PG&E",2017-07-06,2018-01-09,187.0
Lassen,0.0,Lassen National Forest,2017-07-06,2018-01-09,187.0
Kern,2940.0,Kern County Fire Department,2017-07-07,2018-01-09,186.0
Siskiyou,0.0,CAL FIRE Siskiyou Unit / Klamath National Forest,2017-06-25,2018-01-09,198.0
Madera,90.0, CAL FIRE Madera-Mariposa-Merced Unit,2017-07-07,2018-01-09,186.0
Riverside,33.0,CAL FIRE / Riverside County Fire,2017-07-07,2018-01-09,186.0
Butte,6033.0,"CAL FIRE Butte County Fire, California Highway Patrol - Chico, Butte County Sheriff’s Office, California Department of Corrections and Rehabilitation, California State Parks, Cal OES, California Conservation Corps, Cal OES - Law, North Valley Animal Disaster Group, Butte County EOC, American Red Cross, Butte County Animal Control, Pacific Gas and Electric, Oroville Police Department, Oroville Fire Department, California Department of Transportation - Oroville, Salvation Army, California Department of Water Resources.",2017-07-07,2018-01-09,186.0
San Bernardino,74.0,Unified Command -  CAL FIRE San Bernardino Unit / Redlands Fire Department,2017-07-07,2018-01-09,186.0
San Luis Obispo,58.0,CAL FIRE San Luis Obispo Unit,2017-07-07,2018-01-09,186.0
Mariposa,36.0,CAL FIRE Madera-Mariposa-Merced Unit,2017-07-07,2018-01-09,186.0
Contra Costa,231.0,CAL FIRE Santa Clara Unit,2017-07-08,2018-01-09,185.0
Shasta,10.0,CAL FIRE Shasta-Trinity Unit,2017-07-15,2018-01-09,178.0
Santa Barbara,18430.0,Los Padres National Forest,2017-07-08,2018-01-09,185.0
Modoc,410.0,Modoc National Forest,2017-07-13,2018-01-09,180.0
Siskiyou,27276.0,Six Rivers National Forest,2017-07-26,2018-01-09,167.0
San Luis Obispo,340.0,CAL FIRE San Luis Obispo Unit,2017-07-09,2018-01-09,184.0
Contra Costa,370.0,CAL FIRE Santa Clara Unit,2017-07-08,2018-01-09,185.0
Yuba,50.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-07-08,2018-01-09,185.0
El Dorado,13.0,CAL FIRE Amador-El Dorado Unit,2017-07-12,2018-01-09,181.0
"Monterey, San Luis Obispo",1816.0,CAL FIRE San Benito-Monterey Unit,2017-07-08,2018-01-09,185.0
Tehama,29.0,CAL FIRE Tehema-Glenn Unit,2017-07-08,2018-01-09,185.0
Kings,48889.0,"CAL FIRE Fresno-Kings Unit, Fresno County Sheriff’s Office, Kings County Sheriff's Department, Monterey County Sheriff's Office, California Department of Corrections and Rehabilitation, Kings County Fire Department, Pacific Gas and Electric, Bureau of Land Management, California Conservation Corps and Cal OES.",2017-07-09,2018-01-09,184.0
Butte,166.0,CAL FIRE / Butte County Fire,2017-07-10,2018-01-09,183.0
Sierra,747.0,Humboldt-Toiyabe National Forest,2017-07-10,2018-01-09,183.0
Santa Clara,70.0,CAL FIRE Santa Clara Unit,2017-07-10,2018-01-09,183.0
Butte,10.0,CAL FIRE Butte Unit ,2017-07-12,2018-01-09,181.0
Santa Barbara,50.0,Santa Barbara County Fire,2017-07-17,2018-01-09,176.0
San Bernardino,460.0,"Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit, USFS - San Bernardino National Forest and City of Highland",2017-07-14,2018-04-12,272.0
San Diego,400.0,"Unified Command: CAL FIRE San Diego Unit, Alpine Fire Protection District and  Lakeside Fire Protection District",2017-07-11,2018-01-09,182.0
Lassen,83733.0,Bureau of Land Management,2017-07-11,2018-01-09,182.0
Santa Clara,101.0,San Jose Fire Department,2017-07-11,2018-01-09,182.0
Calaveras,59.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-12,2018-01-09,181.0
Riverside,32.0,CALFIRE / Riverside County Fire,2017-07-13,2018-01-09,180.0
San Bernardino,46.0,San Bernardino National Forest,2017-07-12,2018-01-09,181.0
Marin,35.0,Marin County Fire,2017-07-12,2018-01-09,181.0
Riverside,10.0,CAL FIRE / Riverside County Fire,2017-07-13,2018-01-09,180.0
Monterey,40.0,Monterey County Regional Fire District,2017-07-16,2018-01-09,177.0
Mendocino,900.0,"CAL FIRE Mendocino Unit, Mendocino Sheriff's Office, OES, PG&E, CHP, CAL TRANS, and Mendocino County Fire Services",2017-07-16,2018-01-09,177.0
Mariposa,81826.0,"CAL FIRE Madera-Mariposa-Merced Unit, Mariposa County Sheriff’s Office, Mariposa County Fire, CAL OES, CHP, Mariposa Public Works, CALTRANS, Mariposa Public Utility District, BLM, Merced County Fairgrounds, Mariposa County Fairgrounds, California Dept. of Corrections and Rehabilitation, American Red Cross, Mariposa OES, Mariposa County Human Services and Public Health, North Fork Tribal Chair, CDCR CYA Camp, City of San Francisco, TDS Telecom, AT&T, Verizon, Sierra Pacific Industries, PG&E, Tuolumne County Sheriff, Wildland Defense Systems, Sierra Telephone, California State Parks, Salvation Army, United States Forest Service, Federal Team 5, Red Zone Disaster Intelligence, City of Merced, U.S. Senator Feinstein’s Office, California National Guard, John C. Fremont Healthcare District, National Park Service, Sonoma County, Madera Sheriff and Mariposa Health Air Quality, Merced County, California Conservation Corps",2017-07-16,2018-01-09,177.0
Mendocino,20.0,CAL FIRE Mendocino Unit,2017-07-17,2018-01-09,176.0
Fresno,1649.0,"CAL FIRE / Fresno County Fire, Fresno County Sheriff’s Office, Monterey County Sheriff’s Office, California Department of Corrections and Rehabilitation, Pacific Gas and Electric, Bureau of Land Management, California Conservation Corps and Cal OES.",2017-07-17,2018-01-09,176.0
Colusa,70.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-07-17,2018-01-09,176.0
Calaveras,117.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-17,2018-01-09,176.0
Modoc,15.0,CAL FIRE Lassen-Modoc Unit,2017-07-17,2018-01-09,176.0
Lake,40.0,CAL FIRE Sonoma-Lake-Napa Unit,2017-07-17,2018-01-09,176.0
Tulare,59.0,CAL FIRE Tulare Unit,2017-07-17,2018-01-09,176.0
Kings,2312.0,Kings County,2017-08-24,2018-01-09,138.0
Humboldt,19.0,Six Rivers National Forest,2017-08-01,2018-01-09,161.0
Kern,1083.0,Kern County Fire ,2017-07-18,2018-01-09,175.0
Shasta,180.0,"CAL FIRE Shasta-Trintiy Unit, Shasta County Sheriff Department, California Highway Patrol, Redding City Fire, Redding Police Department, Shasta County Public Works, PG&E, Shasta Trinity National Forest, Shasta County Fire Department.",2017-07-18,2018-01-09,175.0
Riverside,72.0,CAL FIRE/Riverside County Fire,2017-07-18,2018-01-09,175.0
Tulare,58.0,CAL FIRE Tulare Unit,2017-07-18,2018-01-09,175.0
Glenn,0.0,City of Orland Fire Department,2017-07-19,2018-01-09,174.0
Tulare,2289.0,CAL FIRE Tulare Unit,2017-07-30,2018-01-09,163.0
Siskiyou,0.0,Klamath National Forest,2017-07-25,2018-01-09,168.0
Tuolumne,124.0,CAL FIRE Tuolumne-Calaveras Unit ,2017-07-30,2018-01-09,163.0
Los Angeles,135.0,Los Angles County Fire Department,2017-07-28,2018-01-09,165.0
Riverside,63.0,Riverside County Fire Department,2017-07-28,2018-01-09,165.0
Stanislaus,19.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-18,2018-01-09,175.0
Butte,103.0,Unified Command: CAL FIRE/Butte County and Chico Fire Department,2017-07-19,2018-04-12,267.0
Plumas,4310.0,U.S. Forest Service - Plumas National Forest,2017-07-29,2018-01-09,164.0
Tuolumne,690.0,CAL FIRE Tuolumne-Calaveras Unit,2017-07-29,2018-01-09,164.0
San Luis Obispo,47.0,CAL FIRE San Luis Obispo Unit,2017-07-20,2018-01-09,173.0
Nevada,10.0,CAL FIRE Nevada-Yuba-Placer Unit,2017-07-21,2018-01-09,172.0
El Dorado,140.0,"CAL FIRE Amador - El Dorado Unit, El Dorado County Fire, Amador Fire Protection District",2017-07-26,2018-01-09,167.0
Tulare,416.0,CAL FIRE Tulare Unit,2017-07-20,2018-01-09,173.0
Sacramento,1286.0,CAL FIRE Amador-El Dorado Unit,2017-07-26,2018-01-09,167.0
Santa Clara,51.0,CAL FIRE Santa Clara Unit,2017-07-26,2018-01-09,167.0
Del Norte,319.0,USFS - Six Rivers National Forest,2017-07-19,2018-01-09,174.0
San Bernardino,85.0,USFS - San Bernardino National Forest,2017-07-22,2018-01-09,171.0
